name,incl,q,r1,r2,ecc,T2/T1,R2
LC-JTLQ,83.45295133,0.904554419,0.335152725,0.146608768,0.043952411,1.028752622,0.9994
LC-JUUI,86.78024876,0.347367946,0.388469335,0.286226273,0.023222788,0.634344197,0.9998
LC-JV8D,81.17737263,0.815320545,0.348974556,0.119286521,0.092189489,0.615053393,0.9991
LC-K750,85.648077,0.195421019,0.41993985,0.224597943,0.030577506,1.055407447,0.9996
LC-K9S9,79.74594857,0.853814266,0.333774206,0.116916426,0.043961177,0.536693894,0.9998
LC-KAMJ,81.00462255,0.225395344,0.320537328,0.09128029,0.118225832,0.759651134,0.9979
LC-KGZ2,86.68643349,0.167568923,0.373975664,0.178534914,0.075864709,1.082805918,0.9996
LC-KH4P,80.62462988,0.407697531,0.389904766,0.148077166,0.070876113,0.692173897,0.9997
LC-KIE2,84.39638764,0.058211902,0.297332269,0.103559856,0.088651832,0.956556641,0.9986
LC-KINU,80.10591794,0.170934613,0.331734794,0.131518873,0.03959718,1.08112985,0.9994
LC-KJVF,86.11868713,0.583813418,0.309230739,0.112016166,0.225792728,1.15650405,0.9992
LC-KMPR,77.53436564,0.794489086,0.365504637,0.091365417,0.031318352,0.841099794,0.9992
LC-KMPW,88.31737292,0.109300704,0.327172073,0.155201226,0.076781874,0.769264515,0.9992
LC-KO9I,85.86744333,0.131434672,0.306491959,0.105572332,0.162984684,0.659788897,0.9989
LC-KV15,85.14678712,0.070441892,0.269836125,0.132559343,0.104739509,0.506205619,0.9997
LC-L3I2,84.08542713,0.440568727,0.39283329,0.195727176,0.030199438,0.92580891,0.999
LC-LCWW,87.28167654,0.192267223,0.25298193,0.128191846,0.000787823,0.993868428,0.9987
LC-LGQK,81.47196851,0.085851351,0.333547061,0.141646484,0.090707277,0.870828674,0.9992
LC-LHNN,79.3521089,0.174509928,0.352237061,0.136019906,0.019744603,0.657277248,0.9942
LC-LTJA,83.58087641,0.194789699,0.35105534,0.116153006,0.027310371,0.746344835,0.9993
LC-LVKU,79.92400451,0.21413724,0.368213618,0.167878075,0.006208564,0.750280165,0.9995
LC-LW8P,86.81274625,0.19578648,0.406323693,0.216426188,0.063105119,0.766634414,0.9992
LC-LXI8,88.29742199,0.169122329,0.254066594,0.153434242,0.018827572,0.710217547,0.9996
LC-LYVT,84.87228147,0.014878484,0.341309318,0.084080371,0.054106995,0.617608398,0.9981
LC-MHI7,87.91227018,0.306790382,0.208576875,0.138393156,0.009214578,0.918998671,0.9999
