name,T1,T2,incl,q,r1,r2,ecc,R2
LC-5JV2,9398.323724,6637.050407,86.55667523,0.189518925,0.280116569,0.147680023,0.030827043,0.9997
LC-5N2P,7230.877796,5944.027958,83.72161338,0.417227174,0.31007831,0.130908648,0.02550899,0.9993
LC-5PWI,8270.285337,9298.69747,82.73777956,0.109524438,0.294005808,0.123560992,0.058864128,0.9995
LC-5RLW,10241.55251,5500.170249,85.01544213,0.706754115,0.26353592,0.121078076,0.061953661,0.9994
LC-62K8,10202.26287,5546.867528,86.01853885,0.38210873,0.390510885,0.208533906,0.031486248,0.9998
LC-6AFT,10601.76993,6310.090528,83.45613399,0.698342394,0.277873258,0.069853498,0.135603328,0.9991
LC-6CVI,10537.66152,9311.774863,88.50695803,0.38586435,0.350770332,0.213593802,0.109538864,0.9995
LC-6KIG,10644.21354,9422.51199,76.35910115,0.044519794,0.579763885,0.091508462,0.158925273,0.9966
LC-6NB9,11914.46996,10826.04381,84.18463942,0.657820123,0.260754316,0.086733022,0.100586644,0.9988
LC-6YQA,8625.790188,6674.079359,82.45928568,0.511373761,0.274200311,0.040468339,0.067667874,0.9973
LC-70EZ,7417.215598,4504.162237,89.2763509,0.476463533,0.220603398,0.059030456,0.054438448,0.9981
LC-74H0,8896.820487,6289.098666,82.60119739,0.577807078,0.276360473,0.108248963,0.044180877,0.9993
LC-7BRU,11451.85649,6790.651608,83.44683092,0.310092893,0.204991023,0.074150129,0.077606045,0.9988
LC-3WXU,6625.426679,3604.749978,85.01278214,0.833588063,0.034425458,0.142042703,0.026462258,0.9997
LC-45FL,6659.200975,7074.064361,82.65127281,0.730357393,0.364096866,0.116727797,0.079440768,0.9995
LC-4B4L,6378.886433,4896.656329,80.02886122,0.308843978,0.394249018,0.18277427,0.00459373,0.9996
LC-4I1D,8806.527299,6025.435063,87.63393492,0.466389323,0.368738871,0.184207606,0.090753838,0.9997
LC-4O9P,10165.31883,9894.669785,75.98869022,0.065498701,0.532412908,0.169232345,0.020217642,0.9991
LC-4OT2,10355.86548,6241.272275,83.7514805,0.582707713,0.334535881,0.13232067,0.005439789,0.9995
LC-4PTQ,4025.928809,4463.24122,82.23865752,0.571964433,0.35779483,0.063139545,0.04549496,0.9988
LC-4PWX,5198.043869,4790.080365,82.88584984,0.228534157,0.360456014,0.082514154,0.001510457,0.9967
