Name,T1,T2,incl,inclerror,q,qerror,r1,r2,R2
TIC 167890109,5657,5186,86.702,0.209,0.547,0.005,0.431,0.328,0.982
TIC 169173084,7284,5790,62.225,1.333,0.302,0.136,0.407,0.281,0.976
TIC 170676440,6893,5811,89.516,0.404,0.267,0.006,0.495,0.272,0.995
TIC 170937974,6477,4166,60.667,0.703,0.555,0.083,0.400,0.329,0.965
TIC 172421004,9517,8616,85.201,3.411,0.153,0.047,0.422,0.232,0.993
TIC 175243826,7188,6751,69.642,0.904,0.382,0.141,0.399,0.299,0.989
TIC 178938437,7593,5788,63.917,0.891,0.328,0.046,0.478,0.287,1.000
TIC 178952160,6707,5075,71.812,0.509,0.351,0.036,0.438,0.292,0.980
TIC 179209305,9017,8430,73.402,0.650,0.777,0.123,0.396,0.358,0.942
TIC 188766090,6265,4984,67.967,1.846,0.509,0.040,0.434,0.322,0.996
TIC 193538686,5349,4635,69.159,0.900,0.431,0.060,0.427,0.309,0.990
TIC 197218183,5242,4777,69.909,0.541,0.276,0.035,0.402,0.274,0.984
TIC 197556869,4301,3870,84.679,0.294,0.239,0.011,0.278,0.263,0.898
TIC 19757899,6677,4703,70.675,0.850,0.360,0.071,0.380,0.294,0.992
TIC 198037741,7369,5436,67.914,0.381,0.338,0.027,0.404,0.289,0.990
TIC 198051336,6629,5114,74.402,1.815,0.228,0.148,0.378,0.260,0.998
TIC 198731685,6963,5969,62.695,0.307,0.387,0.037,0.463,0.300,0.996
TIC 199688409,8823,5285,75.579,3.477,0.091,0.071,0.384,0.200,0.996
TIC 206328160,6925,4841,73.507,0.724,0.097,0.005,0.433,0.204,0.981
TIC 207174531,6920,5399,89.508,0.757,0.448,0.001,0.450,0.312,0.982
TIC 207384197,6896,6631,61.644,6.747,0.707,0.266,0.408,0.350,0.994
TIC 209169794,6292,5261,60.669,1.542,0.418,0.051,0.453,0.306,0.994
TIC 209889358,8038,6110,63.200,1.888,0.223,0.080,0.390,0.258,0.995
TIC 211412634,6427,5706,82.373,0.254,0.202,0.001,0.520,0.252,0.999
TIC 215476661,6696,6723,77.928,0.432,0.283,0.029,0.362,0.276,0.999
TIC 219900027,6351,5037,78.079,0.350,0.381,0.014,0.454,0.299,0.966
TIC 220402294,7397,5473,76.754,0.216,0.501,0.020,0.338,0.321,0.997
TIC 224605072,7011,5647,58.707,3.776,0.684,0.377,0.396,0.347,0.965
TIC 228380676,6646,5803,67.729,0.269,0.601,0.077,0.375,0.336,0.999
TIC 229771231,7818,5850,67.446,0.655,0.520,0.064,0.435,0.324,0.954
TIC 230222657,7629,6603,80.378,2.748,0.074,0.011,0.441,0.188,0.963
TIC 230233157,5357,4198,80.643,1.220,0.876,0.126,0.385,0.368,0.993
TIC 230298837,7575,6304,75.034,0.899,0.461,0.040,0.447,0.314,0.990
TIC 230478637,6623,5096,89.876,0.116,0.443,0.011,0.451,0.311,0.996
TIC 232634196,6161,5274,67.048,0.230,0.321,0.017,0.362,0.285,0.983
TIC 236327696,5868,5541,89.137,0.725,0.695,0.043,0.379,0.348,0.998
TIC 238607300,7753,4998,74.004,2.195,0.287,0.079,0.409,0.277,0.984
TIC 238607981,6655,4843,69.192,2.322,0.328,0.268,0.367,0.287,0.977
TIC 238951019,6665,4882,85.515,0.511,0.331,0.004,0.476,0.288,0.987
TIC 239207952,6365,4541,76.044,0.516,0.114,0.006,0.420,0.214,0.988
TIC 241247657,6387,5444,86.324,0.339,0.499,0.001,0.392,0.320,0.998
TIC 243352809,7661,6010,58.087,0.325,0.720,0.054,0.407,0.351,0.998
TIC 24586751,6276,4358,83.898,0.271,0.378,0.007,0.400,0.298,0.997
TIC 246893580,6549,5290,81.540,0.061,0.399,0.001,0.460,0.302,0.983
TIC 247315421,5046,4581,74.844,0.438,0.802,0.080,0.248,0.361,0.966
TIC 248067933,7222,5687,75.159,1.555,0.252,0.029,0.494,0.267,0.994
TIC 248410138,6640,4403,78.127,0.122,0.169,0.006,0.489,0.239,0.966
TIC 251078096,7246,5483,82.813,0.166,0.423,0.003,0.451,0.307,0.999
TIC 251857120,5244,4095,89.779,0.180,0.608,0.003,0.410,0.337,0.993
TIC 254298146,7029,5751,80.738,0.589,0.172,0.009,0.528,0.240,0.988
TIC 255803218,6484,4519,67.952,2.786,0.473,0.225,0.416,0.316,0.961
TIC 256298934,7467,6245,70.843,0.416,0.619,0.068,0.415,0.338,0.957
TIC 260370454,6843,5737,85.912,0.642,0.503,0.006,0.439,0.321,0.999
TIC 262465161,5628,4086,89.436,1.639,0.516,0.020,0.394,0.323,0.969
TIC 262713964,7453,5372,65.594,1.336,0.603,0.121,0.422,0.336,0.995
TIC 263662943,5754,4577,74.373,0.520,0.370,0.040,0.392,0.296,0.996
