name,T1,T2,incl,inclerror,q,qerror,r1,r1error,r2,r2error,f1,f2,R2
TIC 357999129,5750,4329,89.1451,0.4254,0.3787,0.0364,0.1376,0.0012,0.0813,0.0008,0.296,0.272,0.9989
TIC 358018612,6496,6245,81.8453,0.0331,0.3655,0.0072,0.2912,0.0004,0.1084,0.0002,0.6224,0.3662,0.9997
TIC 358232450,9381,8230,88.0337,0.0608,0.2727,0.0074,0.2586,0.0002,0.1691,0.0001,0.5236,0.6171,0.9951
TIC 35880934,6813,4302,80.5986,0.3294,0.4179,0.0147,0.3518,0.0026,0.1314,0.0012,0.7715,0.4286,0.9987
TIC 359579041,5165,4167,85.1091,0.8188,0.4082,0.0342,0.2047,0.0057,0.049,0.0015,0.4469,0.161,0.9969
TIC 360325725,5768,4014,83.6107,0.6814,0.3733,0.0218,0.2874,0.0042,0.0858,0.0016,0.6166,0.2882,0.9981
TIC 362115592,5820,5108,83.6084,0.4436,0.6489,0.049,0.3044,0.0036,0.1542,0.0022,0.7302,0.4505,0.9977
TIC 362443981,6536,4235,83.6734,0.1941,0.4196,0.0327,0.2318,0.0016,0.1019,0.001,0.5087,0.3322,0.9982
TIC 362970860,8868,7978,85.24,0.0815,0.2807,0.0026,0.279,0.0005,0.1057,0.0002,0.568,0.3827,0.9984
TIC 366517337,5889,4456,86.9904,0.2896,0.6225,0.0327,0.2348,0.0016,0.109,0.0008,0.5584,0.3219,0.9992
TIC 367198120,6345,6031,85.3682,0.191,0.6577,0.0301,0.2339,0.0015,0.0857,0.0006,0.5628,0.2497,0.9989
TIC 367515647,6573,4892,87.986,0.3562,0.6312,0.0248,0.2441,0.0013,0.1176,0.0007,0.5822,0.3459,0.9995
TIC 368779536,6548,3828,86.5832,0.0892,0.2527,0.0301,0.1199,0.0011,0.0497,0.0005,0.2396,0.1852,0.9995
TIC 372759279,7840,6136,84.7012,0.2596,0.1422,0.0235,0.3291,0.0022,0.1934,0.0012,0.5988,0.8456,0.9987
TIC 376935065,5338,4469,89.9945,0.0084,0.3692,0.0026,0.2399,0.0001,0.185,0.0001,0.5136,0.6233,0.9992
TIC 381009148,7072,3782,89.0042,0.4922,0.1745,0.0096,0.1278,0.0016,0.2532,0.0021,0.24,1.0446,0.9978
TIC 38215399,8133,3851,83.791,0.0687,0.1967,0.0162,0.1759,0.0006,0.0585,0.0003,0.3368,0.2333,0.9996
TIC 383427491,5670,5382,84.6532,0.43,0.2863,0.0421,0.1667,0.0036,0.0648,0.0023,0.3404,0.2335,0.9972
TIC 38467360,6083,4040,86.5765,0.4873,0.35,0.0443,0.2145,0.0025,0.0992,0.0014,0.4548,0.339,0.9977
TIC 389015383,5937,3975,82.5223,0.3438,0.4179,0.0114,0.3548,0.0022,0.1352,0.001,0.7782,0.441,0.9994
TIC 390554357,9092,7734,85.9964,0.5267,0.1371,0.0518,0.2348,0.0026,0.1077,0.0014,0.4249,0.4757,0.9992
TIC 394006752,4455,3473,89.2123,0.2775,0.9325,0.0373,0.2859,0.0015,0.1728,0.001,0.7425,0.4635,0.9984
TIC 394517162,6918,4870,86.7819,0.4829,0.2804,0.0308,0.3656,0.0013,0.2369,0.0017,0.7441,0.8582,0.9997
TIC 394914071,4094,3895,85.6242,0.3416,0.0889,0.0189,0.2074,0.0019,0.0808,0.0009,0.353,0.4047,0.993
TIC 395833811,5533,4492,83.6233,0.2113,0.5415,0.0151,0.28,0.0015,0.1017,0.0007,0.6467,0.3109,0.9995
TIC 397184624,5344,4139,89.7867,0.4088,0.219,0.0044,0.3305,0.0006,0.2131,0.0003,0.6443,0.8256,0.9997
TIC 397412140,9083,4411,83.7056,0.2494,0.0995,0.0101,0.1843,0.0021,0.0416,0.0007,0.3185,0.2016,0.9984
TIC 39826778,5779,4477,86.9379,2.0997,0.3511,0.0675,0.2437,0.006,0.1543,0.0068,0.517,0.5266,0.9909
TIC 401498844,7505,4370,84.6077,0.4927,0.4346,0.0161,0.3101,0.0023,0.1002,0.001,0.6853,0.3238,0.9989
TIC 406947878,7838,6354,81.134,0.3211,0.1496,0.0254,0.3992,0.0024,0.1848,0.0021,0.7319,0.7963,0.9987
TIC 406949643,8545,6141,87.7975,0.3569,0.3692,0.0524,0.1351,0.0021,0.0528,0.0009,0.2892,0.1779,0.999
TIC 410245402,5740,3516,87.868,0.196,0.5501,0.0224,0.1418,0.0009,0.0572,0.0004,0.3287,0.174,0.9984
TIC 421718004,5101,3342,88.932,0.3824,0.8406,0.0629,0.1526,0.0006,0.2736,0.0014,0.3873,0.7516,0.9987
TIC 422246362,6566,3738,82.72,0.1205,0.0513,0.0247,0.188,0.0015,0.0574,0.0005,0.2993,0.3383,0.9985
TIC 422252417,4975,3543,81.7185,0.1284,0.2586,0.0113,0.3115,0.001,0.1367,0.0007,0.6251,0.5062,0.9976
TIC 42244951,8504,7002,84.6517,0.1906,0.2898,0.0069,0.2926,0.001,0.1013,0.0004,0.5991,0.3639,0.9974
TIC 426452320,5095,3686,85.7128,0.3893,0.4501,0.0321,0.2158,0.003,0.0748,0.0011,0.4802,0.2394,0.9979
TIC 428987718,5330,4244,84.333,0.2314,0.2614,0.0253,0.2625,0.0018,0.1269,0.0012,0.5275,0.4684,0.9989
TIC 429864788,6369,5964,83.5513,0.2744,0.4802,0.0077,0.3647,0.0015,0.1121,0.0005,0.8222,0.353,0.9989
TIC 434380323,7433,5610,86.1427,0.2595,0.544,0.0392,0.2145,0.0016,0.0963,0.0008,0.496,0.2938,0.9985
TIC 437241830,6432,4135,86.7604,0.1368,0.473,0.0034,0.3212,0.0004,0.1314,0.0002,0.722,0.4153,0.9998
TIC 439698710,5473,3329,86.7946,0.9375,0.4968,0.0217,0.278,0.0038,0.0954,0.0013,0.631,0.2979,0.9939
TIC 441224398,5767,4597,85.6053,0.2496,0.4519,0.0177,0.2176,0.0016,0.0678,0.0006,0.4847,0.2168,0.9992
TIC 442567883,5341,3582,83.4724,0.1808,0.4007,0.0167,0.3032,0.0015,0.1428,0.0008,0.6596,0.4711,0.9995
TIC 444833007,9298,5293,87.3049,0.3698,0.1635,0.0091,0.2254,0.0017,0.041,0.0004,0.4189,0.1725,0.9988
TIC 44550552,5560,4143,87.5973,0.8898,0.7536,0.0704,0.1434,0.0044,0.0602,0.0021,0.3552,0.1698,0.9982
TIC 446195182,6427,5095,83.3757,0.325,0.4918,0.0097,0.3357,0.0018,0.1,0.0006,0.7604,0.3132,0.9996
TIC 446544372,5962,5707,85.2788,0.5741,0.7192,0.0495,0.2016,0.0037,0.079,0.0018,0.4944,0.2252,0.9974
TIC 450089997,6428,5532,86.0923,0.6285,0.761,0.0172,0.3161,0.0025,0.094,0.0008,0.7848,0.2644,0.9927
TIC 45309092,4912,3898,89.8267,0.2658,0.8213,0.0247,0.3368,0.002,0.1468,0.0011,0.8502,0.4055,0.9895
TIC 458993947,6526,4072,89.7116,0.4163,0.2253,0.004,0.11,0.0005,0.2559,0.0009,0.2156,0.9836,0.9989
TIC 460099092,6502,4197,88.1872,0.3153,0.3256,0.031,0.2007,0.0011,0.0951,0.0006,0.4198,0.3311,0.9995
TIC 46106659,5998,4917,84.0573,0.6904,0.5887,0.0205,0.3579,0.0037,0.1015,0.0012,0.8411,0.3039,0.9991
TIC 46379347,7094,3879,86.52,0.5985,0.4287,0.0187,0.2136,0.0022,0.0475,0.0006,0.4708,0.1539,0.9972
TIC 464283590,6123,3485,82.6194,0.4891,0.1499,0.0202,0.2382,0.0044,0.0684,0.0015,0.4369,0.2947,0.9951
TIC 46776945,8214,6228,88.2787,0.5859,0.5312,0.0308,0.2574,0.0014,0.1275,0.0009,0.5923,0.3914,0.9984
TIC 467832488,5767,3421,82.8418,0.3521,0.2752,0.0144,0.2605,0.0033,0.0653,0.0009,0.5284,0.2377,0.9974
TIC 47066441,6046,3574,81.6467,0.1712,0.3524,0.022,0.2553,0.0019,0.0858,0.0008,0.5419,0.2926,0.9982
TIC 470984698,8977,3823,88.4831,0.7559,0.0924,0.0106,0.1501,0.0019,0.0289,0.0004,0.2568,0.1431,0.9973
TIC 53729665,5175,3994,87.6705,0.2851,0.6224,0.0253,0.2527,0.0007,0.1656,0.0007,0.6008,0.4888,0.9994
TIC 53963396,5121,3542,87.0176,0.5296,0.0548,0.0187,0.1995,0.003,0.0698,0.0011,0.32,0.4033,0.996
TIC 54856658,8651,7872,83.476,0.5168,0.0657,0.0352,0.2985,0.0035,0.1387,0.0017,0.4892,0.7593,0.9985
TIC 59354634,8866,6825,84.829,0.0933,0.0736,0.0102,0.2125,0.0008,0.0903,0.0005,0.3532,0.4778,0.9979
